Period,c1,c2,c3,c4,c5,c6,c7,c8,c9,sigma,c1b,c2b,c3b,c4b,c5b,c6b,c7b,c8b,c9b,sigmab
0.01,-1.8559,0.2549,0.0111,-0.0013,0.3061,0.0734,0.3552,1.5149,-0.103,0.2137,0.2565,-0.1151,0.0064,-0.0012,0.28,0.00724,0.507,1.6241,-0.1425,0.3117
0.04,-1.7342,0.2567,0.0111,-0.0016,0.2865,0.0734,0.3552,1.5149,-0.103,0.2311,0.1387,-0.0981,0.0087,-0.0016,0.25,0.00724,0.507,1.6241,-0.1425,0.3252
0.1,-1.424,0.2597,0.0081,-0.0019,0.2766,0.0734,0.3552,1.5149,-0.103,0.2557,0.5043,-0.1165,0.0094,-0.0017,0.3,0.00724,0.507,1.6241,-0.1425,0.3206
0.2,-1.0028,0.2375,0.0023,-0.0014,0.2699,0.0734,0.3552,1.5149,-0.103,0.2469,0.0572,-0.022,0.0044,-0.0006,0.3,0.00724,0.507,1.6241,-0.1425,0.329
0.4,-1.4161,0.2568,0.0049,-0.0008,0.315,0.0734,0.3552,1.5149,-0.103,0.2414,-1.2186,0.2032,-0.0007,-0.0012,0.34,0.00724,0.507,1.6241,-0.1425,0.3328
1,-3.3352,0.4013,0.0186,-0.001,0.2839,0.0734,0.3552,1.5149,-0.103,0.2351,-2.6394,0.3206,0.0007,-0.0004,0.27,0.00724,0.507,1.6241,-0.1425,0.3409
2,-3.9051,0.4079,0.0215,-0.0008,0.2057,0.0734,0.3552,1.5149,-0.103,0.2592,-3.2792,0.3577,-0.0022,0,0.3,0.00724,0.507,1.6241,-0.1425,0.3724
